stop_lat,stop_lon,stop_id,stop_name
18.5870261,54.4156213,2097,Piastowska
18.5867374,54.4163655,2098,Piastowska
18.584123,54.4203235,2056,Osiedle Wejhera
18.5848115,54.4205052,2055,Osiedle Wejhera
18.6081803,54.3900483,2081,Bajana
18.6994023,54.3632405,2123,Kaczeńce
18.6109184,54.3868051,2080,Legionów
18.6866351,54.3578219,2119,Lenartowicza
18.7040904,54.3628641,2125,Lessowa
18.6205924,54.383356,2075,Mickiewicza
18.6219698,54.3840497,2171,Mickiewicza
18.6146826,54.3833947,2078,Plac Komorowskiego
18.6340713,54.3716587,2066,Stocznia Północna
18.6337749,54.3719894,2065,Stocznia Północna
18.7146785,54.3614004,2129,Stogi Pasanil
18.6908785,54.3597911,2121,Sucharskiego
18.6312508,54.3744754,2067,Twarda
18.6305767,54.3763643,2154,Węzeł Kliniczna
18.6308076,54.3766966,2153,Węzeł Kliniczna
18.7085241,54.3607015,2127,Zimna
18.710011,54.3607037,2128,Zimna
18.6062485,54.3917912,2084,Żwirki i Wigury
18.5758437,54.3525904,2263,Migowo
18.6068356,54.3782018,2020,Jaśkowa Dolina
18.5880128,54.421525,2058,Helska
18.5885614,54.4216585,2057,Helska
18.5980318,54.3967138,2088,Startowa
18.5975689,54.3970427,2087,Startowa
18.6177436,54.3415117,2215,Chałubińskiego
18.6176705,54.3419461,2216,Chałubińskiego
18.6256213,54.3454119,2213,Odrzańska
18.624068,54.349087,2143,Ciasna
18.6247964,54.3491738,2144,Ciasna
18.6296835,54.3499888,2141,Paska
18.6304071,54.3501101,2142,Paska
18.5822883,54.4197374,2054,Gospody
18.577513,54.4180998,2051,Pomorska - Osiedle
18.5778983,54.4182658,2052,Pomorska - Osiedle
18.6421896,54.3520746,2132,Nowe Ogrody
18.6423314,54.3526483,2151,Nowe Ogrody
18.6359728,54.3510855,2139,Powstańców Warszawskich
18.5955156,54.3998259,204,Zaspa
18.6395418,54.4072622,2189,Brzeźno
18.6436964,54.4063569,2192,Krasickiego
18.6384964,54.407325,2190,Brzeźno
18.6380719,54.4073404,210,Brzeźno
18.655219,54.4046276,2194,Latarnia Morska
18.6559726,54.4047085,2193,Latarnia Morska
18.6489972,54.3873849,2161,PGE Arena Gdańsk
18.6702484,54.3989893,2167,Plac Wolności
18.6345812,54.3796526,2155,Swojska
18.6663289,54.3984704,2166,Wyzwolenia - Marynarki Polskiej
18.657302,54.3919211,2163,Śnieżna
18.6387837,54.3825475,2157,Żaglowa - AmberExpo
18.7157317,54.3630441,2131,Rozłogi
18.6123178,54.3490728,2147,Skrajna
18.6129812,54.3490074,2148,Skrajna
18.6070481,54.3481142,2149,Siedlce
18.6072114,54.3483448,2150,Siedlce
18.5831774,54.357667,2270,Warneńska
18.581974,54.3576987,2269,Warneńska
18.5927145,54.4232033,201,Jelitkowo
18.6614158,54.4039664,2195,Kasztanowa
18.6611651,54.4040731,2196,Kasztanowa
18.6696837,54.4022196,2200,Przychodnia
18.664909,54.4023407,2197,Rybołowców
18.6655522,54.402661,2198,Rybołowców
18.674352,54.398703,2169,Władysława IV
18.6223525,54.3922643,2174,Kolonia Uroda
18.6224176,54.3926919,2175,Kolonia Uroda
18.6223718,54.3881555,2172,Kościuszki
18.6710005,54.4000476,208,Nowy Port (Góreckiego)
18.6755059,54.401259,209,Nowy Port (Oliwska)
18.6224304,54.4016623,2179,Al. Hallera
18.6230793,54.4026778,2178,Al. Hallera
18.63114,54.4025329,2181,Gdańska
18.622308,54.3961043,2176,Grudziądzka
18.6223641,54.3964512,2177,Grudziądzka
18.6345751,54.4046874,2183,Sternicza
18.6262206,54.4002891,2187,Uczniowska
18.624716495755361,54.372183687601584,2013,Opera Bałtycka
18.577758366873926,54.360060787293399,2266,Kolumba
18.577801261931715,54.360071727102529,2267,Kolumba
18.588314408165207,54.355725335354208,2272,Belgradzka
18.58835733648792,54.355741596060305,2271,Belgradzka
18.592172591169483,54.351559246840537,2274,Piekarnicza
18.592221958740602,54.351575509229193,2273,Piekarnicza
18.578847639797832,54.356138731361732,2265,Budapesztańska
18.57877036881694,54.356158744377687,2264,Budapesztańska
18.624607085399042,54.372132275165889,2014,Opera Bałtycka
18.62464357447335,54.372148529411731,2015,Opera Bałtycka
18.616788106111027,54.337361064094132,2219,Chełm Witosa
18.6067104,54.3230851,221,Łostowice Świętokrzyska
18.606505,54.3482885,205,Siedlce
18.5739980341449,54.365493731059154,224,Brętowo PKM
