99;Dni powszednie;#EEEEEE
04:29;X0;;
04:56;X1;;
04:44;X2;;
05:04;X2;;
05:33;X3;;
05:24;X4;;
05:45;X5;;
05:38;X6;;
05:48;X6;;
05:58;X6;;
06:08;X6;;
06:18;X6;;
06:28;X6;;
06:38;X6;;
06:48;X6;;
06:58;X6;;
07:08;X6;;
07:18;X6;;
07:28;X6;;
07:38;X6;;
07:48;X6;;
07:58;X6;;
08:08;X6;;
08:18;X6;;
08:28;X6;;
08:38;X6;;
09:01;X6;;
09:11;X6;;
09:21;X6;;
09:31;X6;;
09:41;X6;;
09:51;X6;;
10:01;X6;;
10:11;X6;;
10:21;X6;;
10:31;X6;;
10:41;X6;;
10:51;X6;;
11:01;X6;;
11:11;X6;;
11:21;X6;;
11:31;X6;;
11:41;X6;;
11:51;X6;;
12:01;X6;;
12:11;X6;;
12:21;X6;;
12:31;X6;;
12:41;X6;;
12:51;X6;;
13:01;X6;;
13:11;X6;;
13:21;X6;;
13:31;X6;;
13:38;X6;;
13:48;X6;;
13:58;X6;;
14:08;X6;;
14:18;X6;;
14:28;X6;;
14:38;X6;;
14:48;X6;;
14:58;X6;;
15:08;X6;;
15:18;X6;;
15:28;X6;;
15:38;X6;;
15:48;X6;;
15:58;X6;;
16:08;X6;;
16:18;X6;;
16:28;X6;;
16:38;X6;;
16:48;X6;;
16:58;X6;;
17:10;X6;;
17:24;X6;;
17:34;X6;;
17:44;X6;;
17:54;X6;;
18:04;X6;;
18:24;X6;;
18:34;X6;;
18:44;X6;;
18:54;X6;;
19:04;X6;;
19:14;X6;;
19:24;X4;;
19:34;X7;;
19:44;X4;;
19:54;X4;;
20:14;X4;;
20:24;X4;;
20:53;X8;;
21:03;X9;;
21:23;X8;;
21:53;X10;;
22:23;X10;;
22:53;X11;;
23:18;X11;;
99;Soboty;#E6E6FA
04:29;X0;;
04:34;X3;;
04:56;X19;;
04:53;X8;;
05:23;X8;;
05:53;X8;;
06:24;X2;;
06:43;X4;;
06:59;X4;;
07:19;X4;;
07:39;X4;;
07:59;X4;;
08:19;X4;;
08:39;X4;;
08:59;X4;;
09:19;X4;;
09:39;X4;;
09:59;X4;;
10:19;X4;;
10:39;X4;;
10:59;X4;;
11:19;X4;;
11:39;X4;;
11:59;X4;;
12:19;X4;;
12:39;X4;;
12:59;X4;;
13:19;X4;;
13:39;X4;;
13:59;X4;;
14:19;X4;;
14:39;X4;;
14:59;X4;;
15:19;X4;;
15:39;X4;;
15:59;X4;;
16:19;X4;;
16:39;X4;;
16:59;X4;;
17:19;X4;;
17:39;X4;;
17:59;X4;;
18:19;X4;;
18:39;X4;;
18:59;X4;;
19:19;X4;;
19:39;X2;;
19:59;X4;;
20:19;X4;;
20:53;X8;;
21:03;X8;;
21:23;X8;;
21:53;X10;;
22:23;X10;;
22:53;X11;;
23:18;X11;;
99;Niedziele i œwiêta;#FFE4E1
04:29;X0;;
04:34;X3;;
04:56;X19;;
04:53;X8;;
05:23;X8;;
05:53;X8;;
06:23;X8;;
06:53;X8;;
07:23;X8;;
07:53;X8;;
08:23;X8;;
08:53;X8;;
09:19;X10;;
09:39;X2;;
09:59;X2;;
10:19;X2;;
10:39;X4;;
10:59;X4;;
11:19;X4;;
11:39;X4;;
11:59;X4;;
12:19;X4;;
12:39;X4;;
12:59;X4;;
13:19;X4;;
13:39;X4;;
13:59;X4;;
14:19;X4;;
14:39;X4;;
14:59;X4;;
15:19;X4;;
15:39;X4;;
15:59;X4;;
16:19;X4;;
16:39;X4;;
16:59;X4;;
17:19;X4;;
17:39;X4;;
17:59;X4;;
18:19;X4;;
18:39;X2;;
18:59;X2;;
19:19;X2;;
19:39;X4;;
19:59;X4;;
20:19;X4;;
20:53;X8;;
21:03;X9;;
21:23;X8;;
21:53;X10;;
22:23;X10;;
22:53;X11;;
23:18;X11;;
