99;Dni powszednie;#EEEEEE
04:00;X12;;
04:18;X12;;
04:38;X12;;
04:54;X12;;
05:03;X13;;
05:11;X12;;
05:20;X14;;
05:35;X14;;
05:41;X15;;
05:53;X16;;
06:03;X16;;
06:12;X15;;
06:22;X15;;
06:32;X15;;
06:42;X15;;
06:52;X15;;
07:02;X15;;
07:12;X15;;
07:22;X15;;
07:32;X15;;
07:42;X15;;
07:52;X15;;
08:13;X15;;
08:25;X15;;
08:35;X15;;
08:45;X15;;
08:55;X15;;
09:05;X15;;
09:15;X15;;
09:25;X15;;
09:35;X15;;
09:45;X15;;
09:55;X15;;
10:03;X15;;
10:13;X15;;
10:23;X15;;
10:33;X15;;
10:43;X15;;
10:53;X15;;
11:03;X15;;
11:13;X15;;
11:23;X15;;
11:33;X15;;
11:43;X15;;
11:53;X15;;
12:03;X15;;
12:13;X15;;
12:23;X15;;
12:33;X15;;
12:43;X15;;
12:52;X15;;
13:02;X15;;
13:10;X15;;
13:20;X15;;
13:32;X15;;
13:42;X15;;
13:52;X15;;
14:02;X15;;
14:12;X15;;
14:22;X15;;
14:32;X15;;
14:42;X15;;
14:52;X15;;
15:02;X15;;
15:12;X15;;
15:22;X15;;
15:32;X15;;
15:42;X15;;
15:52;X15;;
16:02;X15;;
16:12;X15;;
16:22;X15;;
16:32;X15;;
16:42;X15;;
16:52;X15;;
17:00;X15;;
17:13;X15;;
17:32;X15;;
17:42;X15;;
17:52;X15;;
18:02;X15;;
18:12;X15;;
18:22;X15;;
18:30;X15;;
18:40;X15;;
18:50;X15;;
19:00;X15;;
19:20;X15;;
19:36;X12;;
19:56;X12;;
20:16;X12;;
20:33;X12;;
21:03;X12;;
21:33;X12;;
22:03;X12;;
22:33;X12;;
22:41;X17;;
23:06;X18;;
99;Soboty;#E6E6FA
04:03;X13;;
04:33;X12;;
05:04;X14;;
05:33;X12;;
05:58;X12;;
06:14;X12;;
06:34;X12;;
06:54;X12;;
07:14;X14;;
07:34;X12;;
07:43;X12;;
08:03;X12;;
08:23;X12;;
08:43;X12;;
09:03;X12;;
09:23;X12;;
09:43;X12;;
10:03;X12;;
10:23;X12;;
10:43;X12;;
11:03;X12;;
11:23;X12;;
11:43;X12;;
12:03;X12;;
12:23;X12;;
12:43;X12;;
13:03;X12;;
13:23;X12;;
13:43;X12;;
14:03;X12;;
14:23;X12;;
14:43;X12;;
15:03;X12;;
15:23;X12;;
15:43;X12;;
16:03;X12;;
16:23;X12;;
16:43;X12;;
17:03;X12;;
17:23;X12;;
17:43;X12;;
18:03;X12;;
18:23;X12;;
18:43;X12;;
19:03;X12;;
19:23;X12;;
19:43;X12;;
20:03;X12;;
20:24;X20;;
20:33;X12;;
21:03;X12;;
21:33;X12;;
22:03;X12;;
22:33;X12;;
22:41;X17;;
23:06;X18;;
99;Niedziele i œwiêta;#FFE4E1
04:03;X13;;
04:33;X12;;
05:04;X14;;
05:33;X12;;
06:03;X12;;
06:33;X12;;
07:03;X12;;
07:33;X12;;
08:03;X12;;
08:23;X12;;
08:43;X12;;
09:03;X12;;
09:23;X21;;
09:43;X21;;
10:04;X22;;
10:24;X22;;
10:44;X22;;
11:04;X22;;
11:23;X21;;
11:43;X21;;
12:03;X21;;
12:23;X21;;
12:43;X21;;
13:03;X21;;
13:23;X21;;
13:43;X21;;
14:03;X21;;
14:23;X21;;
14:43;X21;;
15:03;X21;;
15:23;X21;;
15:43;X21;;
16:03;X21;;
16:23;X21;;
16:43;X21;;
17:03;X21;;
17:23;X21;;
17:43;X21;;
18:03;X21;;
18:23;X21;;
18:43;X21;;
19:03;X21;;
19:24;X22;;
19:44;X22;;
20:04;X22;;
20:33;X12;;
21:03;X12;;
21:33;X12;;
22:03;X12;;
22:33;X12;;
22:41;X17;;
23:06;X18;;
